Type,Days for shipment (scheduled),Benefit per order,Sales per customer,Late_delivery_risk,Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Item Discount,Order Item Discount Rate,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Product Name,Product Price,Shipping Mode,Shipping Pressure Index,Mode Risk Flag,Order Complexity Score,Regional Congestion,Predicted_Risk,Risk_Probability,Risk_Category
TRANSFER,4,108.23,263.98,0,Camping & Hiking,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Tegucigalpa,Honduras,36.0,0.12,299.98,0.41,1,299.98,263.98,108.23,Central America,Francisco Morazán,PENDING,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class,0.25,1,335.97760000000005,0.5475459581525,0,0.3614166040567685,Low
TRANSFER,4,11.25,90.0,0,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Tegucigalpa,Honduras,10.0,0.1,50.0,0.13,2,100.0,90.0,11.25,Central America,Francisco Morazán,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,0.5,1,110.0,0.5475459581525,0,0.3552603740944806,Low
TRANSFER,4,66.62,141.75,0,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Tegucigalpa,Honduras,8.25,0.06,50.0,0.47,3,150.0,141.75,66.62,Central America,Francisco Morazán,PENDING,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,0.75,1,159.0,0.5475459581525,0,0.3516750462238858,Low
DEBIT,0,43.16,107.89,0,Men's Footwear,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Vassouras,Brasil,22.1,0.17,129.99,0.4,1,129.99,107.89,43.16,South America,Río de Janeiro,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Same Day,1.0,0,152.0883,0.5430867090726481,0,0.409054848363506,Medium
DEBIT,0,2.99,248.98,0,Camping & Hiking,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Vassouras,Brasil,51.0,0.17,299.98,0.01,1,299.98,248.98,2.99,South America,Río de Janeiro,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Same Day,1.0,0,350.9766,0.5430867090726481,0,0.409053050453885,Medium
DEBIT,0,39.36,245.98,0,Camping & Hiking,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Vassouras,Brasil,54.0,0.18,299.98,0.16,1,299.98,245.98,39.36,South America,Río de Janeiro,COMPLETE,Diamondback Women's Serene Classic Comfort Bi,299.98,Same Day,1.0,0,353.9764,0.5430867090726481,0,0.4081525707291684,Medium
DEBIT,0,117.58,235.16,0,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Los Mochis,México,4.8,0.02,59.99,0.5,4,239.96,235.16,117.58,Central America,Sinaloa,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Same Day,4.0,0,244.7592,0.5475459581525,0,0.331937044240332,Low
DEBIT,0,111.73,232.76,0,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Los Mochis,México,7.2,0.03,59.99,0.48,4,239.96,232.76,111.73,Central America,Sinaloa,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Same Day,4.0,0,247.1588,0.5475459581525,0,0.332226918380992,Low
TRANSFER,4,76.99,245.96,0,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Tegucigalpa,Honduras,53.99,0.18,59.99,0.31,5,299.95,245.96,76.99,Central America,Francisco Morazán,PENDING,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,1.25,1,353.941,0.5475459581525,0,0.3598891939656088,Low
DEBIT,4,-445.21,251.96,1,Cleats,San Marcos,EE. UU.,Consumer,CA,Apparel,Pacific Asia,Mersin,Turquía,47.99,0.16,59.99,-1.77,5,299.95,251.96,-445.21,West Asia,Mersin,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,1.25,1,347.94199999999995,0.5528374105508405,0,0.1858725201396886,Low
CASH,4,17.22,49.19,0,Cleats,San Marcos,EE. UU.,Consumer,CA,Apparel,Africa,Benin City,Nigeria,10.8,0.18,59.99,0.35,1,59.99,49.19,17.22,West Africa,Edo,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,0.25,1,70.7882,0.5284090909090909,0,0.2659418796748994,Low
CASH,4,33.25,98.38,0,Cleats,San Marcos,EE. UU.,Consumer,CA,Apparel,Africa,Benin City,Nigeria,21.6,0.18,59.99,0.34,2,119.98,98.38,33.25,West Africa,Edo,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,0.5,1,141.5764,0.5284090909090909,0,0.264354815612584,Low
CASH,4,-70.36,95.98,0,Cleats,San Marcos,EE. UU.,Consumer,CA,Apparel,Africa,Benin City,Nigeria,24.0,0.2,59.99,-0.73,2,119.98,95.98,-70.36,West Africa,Edo,CLOSED,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,0.5,1,143.976,0.5284090909090909,0,0.2687509051227609,Low
DEBIT,1,-41.77,56.99,1,Cleats,San Marcos,EE. UU.,Consumer,CA,Apparel,LATAM,Bayeux,Brasil,3.0,0.05,59.99,-0.73,1,59.99,56.99,-41.77,South America,Paraíba,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,First Class,1.0,0,62.98950000000001,0.5430867090726481,1,0.9974021084737908,High
DEBIT,1,48.66,143.98,1,Cleats,San Marcos,EE. UU.,Consumer,CA,Apparel,LATAM,Bayeux,Brasil,35.99,0.2,59.99,0.34,3,179.97,143.98,48.66,South America,Paraíba,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,First Class,3.0,0,215.964,0.5430867090726481,1,0.9974100226465186,High
DEBIT,1,59.39,134.98,1,Cleats,San Marcos,EE. UU.,Consumer,CA,Apparel,LATAM,Bayeux,Brasil,44.99,0.25,59.99,0.44,3,179.97,134.98,59.39,South America,Paraíba,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,First Class,3.0,0,224.9625,0.5430867090726481,1,0.9974154273096404,High
DEBIT,1,26.99,119.95,1,Accessories,San Marcos,EE. UU.,Consumer,CA,Outdoors,LATAM,Bayeux,Brasil,5.0,0.04,24.99,0.23,5,124.95,119.95,26.99,South America,Paraíba,COMPLETE,Team Golf Texas Longhorns Putter Grip,24.99,First Class,5.0,0,129.94799999999998,0.5430867090726481,1,0.997889855859686,High
DEBIT,0,3.37,18.74,1,Accessories,San Marcos,EE. UU.,Consumer,CA,Outdoors,LATAM,Santiago de Cuba,Cuba,6.25,0.25,24.99,0.18,1,24.99,18.74,3.37,Caribbean,Santiago de Cuba,COMPLETE,Team Golf St. Louis Cardinals Putter Grip,24.99,Same Day,1.0,0,31.2375,0.5307766289973551,0,0.4782984774947226,Medium
DEBIT,0,23.23,70.38,1,Shop By Sport,San Marcos,EE. UU.,Consumer,CA,Golf,LATAM,Santiago de Cuba,Cuba,9.6,0.12,39.99,0.33,2,79.98,70.38,23.23,Caribbean,Santiago de Cuba,COMPLETE,Under Armour Girls' Toddler Spine Surge Runni,39.99,Same Day,2.0,0,89.57760000000002,0.5307766289973551,0,0.3673099662571931,Low
DEBIT,4,11.88,118.78,1,Cleats,San Marcos,EE. UU.,Consumer,CA,Apparel,Pacific Asia,Mersin,Turquía,1.2,0.01,59.99,0.1,2,119.98,118.78,11.88,West Asia,Mersin,COMPLETE,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,0.5,1,121.1798,0.5528374105508405,0,0.178897902166948,Low
DEBIT,4,-21.0,84.0,1,Women's Apparel,San Marcos,EE. UU.,Consumer,CA,Golf,Pacific Asia,Mersin,Turquía,16.0,0.16,50.0,-0.25,2,100.0,84.0,-21.0,West Asia,Mersin,COMPLETE,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,0.5,1,116.0,0.5528374105508405,0,0.1760550793074587,Low
DEBIT,0,-119.92,139.44,1,Indoor/Outdoor Games,San Marcos,EE. UU.,Consumer,CA,Fan Shop,LATAM,Santiago de Cuba,Cuba,10.5,0.07,49.98,-0.86,3,149.94,139.44,-119.92,Caribbean,Santiago de Cuba,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Same Day,3.0,0,160.4358,0.5307766289973551,0,0.3750341314084358,Low
DEBIT,0,34.29,97.96,1,Indoor/Outdoor Games,San Marcos,EE. UU.,Consumer,CA,Fan Shop,LATAM,Santiago de Cuba,Cuba,2.0,0.02,49.98,0.35,2,99.96,97.96,34.29,Caribbean,Santiago de Cuba,COMPLETE,O'Brien Men's Neoprene Life Vest,49.98,Same Day,2.0,0,101.9592,0.5307766289973551,0,0.3664386288291716,Low
PAYMENT,4,78.91,208.77,0,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,Africa,Lagos,Nigeria,31.19,0.13,59.99,0.38,4,239.96,208.77,78.91,West Africa,Lagos,PENDING_PAYMENT,Perfect Fitness Perfect Rip Deck,59.99,Standard Class,1.0,1,271.1548,0.5284090909090909,0,0.3344180556563396,Low
TRANSFER,2,51.16,106.59,1,Men's Footwear,Caguas,Puerto Rico,Home Office,PR,Apparel,USCA,Waco,Estados Unidos,23.4,0.18,129.99,0.48,1,129.99,106.59,51.16,US Center ,Texas,PROCESSING,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Second Class,0.5,0,153.3882,0.5524036011550875,1,0.8670067747593397,High
TRANSFER,2,53.55,254.98,1,Camping & Hiking,Caguas,Puerto Rico,Home Office,PR,Fan Shop,USCA,Waco,Estados Unidos,45.0,0.15,299.98,0.21,1,299.98,254.98,53.55,US Center ,Texas,PROCESSING,Diamondback Women's Serene Classic Comfort Bi,299.98,Second Class,0.5,0,344.977,0.5524036011550875,1,0.866282224746802,High
TRANSFER,2,47.92,145.21,1,Fitness Accessories,Caguas,Puerto Rico,Home Office,PR,Footwear,USCA,Waco,Estados Unidos,29.74,0.17,34.99,0.33,5,174.95,145.21,47.92,US Center ,Texas,PROCESSING,Under Armour Hustle Storm Medium Duffle Bag,34.99,Second Class,2.5,0,204.6915,0.5524036011550875,1,0.8804452537516736,High
TRANSFER,2,21.77,197.92,1,Indoor/Outdoor Games,Caguas,Puerto Rico,Home Office,PR,Fan Shop,USCA,Waco,Estados Unidos,2.0,0.01,49.98,0.11,4,199.92,197.92,21.77,US Center ,Texas,PROCESSING,O'Brien Men's Neoprene Life Vest,49.98,Second Class,2.0,0,201.9192,0.5524036011550875,1,0.8672540615976579,High
TRANSFER,2,27.29,90.96,1,Indoor/Outdoor Games,Caguas,Puerto Rico,Home Office,PR,Fan Shop,USCA,Waco,Estados Unidos,9.0,0.09,49.98,0.3,2,99.96,90.96,27.29,US Center ,Texas,PROCESSING,O'Brien Men's Neoprene Life Vest,49.98,Second Class,1.0,0,108.9564,0.5524036011550875,1,0.8678981039189332,High
DEBIT,4,29.25,97.49,0,Men's Footwear,Caguas,Puerto Rico,Home Office,PR,Apparel,Africa,Kinshasa,República Democrática del Congo,32.5,0.25,129.99,0.3,1,129.99,97.49,29.25,Central Africa,Kinshasa,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class,0.25,1,162.4875,0.5796064400715564,0,0.4223888394698671,Medium
TRANSFER,4,75.2,160.0,1,Women's Apparel,Passaic,EE. UU.,Consumer,NJ,Golf,LATAM,Cancún,México,40.0,0.2,50.0,0.47,4,200.0,160.0,75.2,Central America,Quintana Roo,PROCESSING,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,1.0,1,240.0,0.5475459581525,1,0.5394705736680593,Medium
TRANSFER,4,215.98,479.95,1,Cardio Equipment,Passaic,EE. UU.,Consumer,NJ,Footwear,LATAM,Cancún,México,20.0,0.04,99.99,0.45,5,499.95,479.95,215.98,Central America,Quintana Roo,PROCESSING,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,1.25,1,519.948,0.5475459581525,1,0.5414945230691197,Medium
TRANSFER,4,56.83,195.95,1,Shop By Sport,Passaic,EE. UU.,Consumer,NJ,Golf,LATAM,Cancún,México,4.0,0.02,39.99,0.29,5,199.95,195.95,56.83,Central America,Quintana Roo,PROCESSING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Standard Class,1.25,1,203.949,0.5475459581525,1,0.5470522889491074,Medium
PAYMENT,2,25.48,91.0,1,Women's Apparel,Passaic,EE. UU.,Consumer,NJ,Golf,USCA,Carrollton,Estados Unidos,9.0,0.09,50.0,0.28,2,100.0,91.0,25.48,US Center ,Texas,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class,1.0,0,109.0,0.5524036011550875,1,0.8887608886761001,High
PAYMENT,2,143.99,299.97,1,Cardio Equipment,Passaic,EE. UU.,Consumer,NJ,Footwear,USCA,Carrollton,Estados Unidos,0.0,0.0,99.99,0.48,3,299.97,299.97,143.99,US Center ,Texas,PENDING_PAYMENT,Nike Men's Free 5.0+ Running Shoe,99.99,Second Class,1.5,0,299.97,0.5524036011550875,1,0.8914060290074388,High
PAYMENT,2,111.04,236.25,1,Women's Apparel,Passaic,EE. UU.,Consumer,NJ,Golf,USCA,Carrollton,Estados Unidos,13.75,0.06,50.0,0.47,5,250.0,236.25,111.04,US Center ,Texas,PENDING_PAYMENT,Nike Men's Dri-FIT Victory Golf Polo,50.0,Second Class,2.5,0,265.0,0.5524036011550875,1,0.8875478309249475,High
PAYMENT,4,19.07,116.99,0,Men's Footwear,Passaic,EE. UU.,Consumer,NJ,Apparel,Pacific Asia,Baguio City,Filipinas,13.0,0.1,129.99,0.16,1,129.99,116.99,19.07,Southeast Asia,Cordillera,PENDING_PAYMENT,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class,0.25,1,142.98900000000003,0.5552992976202956,0,0.2513615116793919,Low
PAYMENT,4,91.52,351.98,0,Fishing,Passaic,EE. UU.,Consumer,NJ,Fan Shop,Pacific Asia,Baguio City,Filipinas,48.0,0.12,399.98,0.26,1,399.98,351.98,91.52,Southeast Asia,Cordillera,PENDING_PAYMENT,Field & Stream Sportsman 16 Gun Fire Safe,399.98,Standard Class,0.25,1,447.97760000000005,0.5552992976202956,0,0.2506766935041063,Low
PAYMENT,4,0.0,189.99,0,Water Sports,Passaic,EE. UU.,Consumer,NJ,Fan Shop,Pacific Asia,Baguio City,Filipinas,10.0,0.05,199.99,0.0,1,199.99,189.99,0.0,Southeast Asia,Cordillera,PENDING_PAYMENT,Pelican Sunstream 100 Kayak,199.99,Standard Class,0.25,1,209.9895,0.5552992976202956,0,0.2433202992542523,Low
TRANSFER,2,46.97,161.97,1,Cleats,Passaic,EE. UU.,Consumer,NJ,Apparel,LATAM,Chihuahua,México,18.0,0.1,59.99,0.29,3,179.97,161.97,46.97,Central America,Chihuahua,PENDING,Perfect Fitness Perfect Rip Deck,59.99,Second Class,1.5,0,197.967,0.5475459581525,1,0.7997115852240355,High
TRANSFER,2,45.35,167.96,1,Shop By Sport,Passaic,EE. UU.,Consumer,NJ,Golf,LATAM,Chihuahua,México,31.99,0.16,39.99,0.27,5,199.95,167.96,45.35,Central America,Chihuahua,PENDING,Under Armour Girls' Toddler Spine Surge Runni,39.99,Second Class,2.5,0,231.942,0.5475459581525,1,0.8011020827724058,High
PAYMENT,4,-63.64,82.97,0,Indoor/Outdoor Games,Passaic,EE. UU.,Consumer,NJ,Fan Shop,Pacific Asia,Baguio City,Filipinas,16.99,0.17,49.98,-0.77,2,99.96,82.97,-63.64,Southeast Asia,Cordillera,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,0.5,1,116.95319999999998,0.5552992976202956,0,0.2576701901067251,Low
PAYMENT,4,38.52,81.97,0,Indoor/Outdoor Games,Passaic,EE. UU.,Consumer,NJ,Fan Shop,Pacific Asia,Baguio City,Filipinas,17.99,0.18,49.98,0.47,2,99.96,81.97,38.52,Southeast Asia,Cordillera,PENDING_PAYMENT,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,0.5,1,117.95279999999998,0.5552992976202956,0,0.2535402361731772,Low
TRANSFER,2,50.38,209.92,1,Indoor/Outdoor Games,Passaic,EE. UU.,Consumer,NJ,Fan Shop,LATAM,Chihuahua,México,39.98,0.16,49.98,0.24,5,249.9,209.92,50.38,Central America,Chihuahua,PENDING,O'Brien Men's Neoprene Life Vest,49.98,Second Class,2.5,0,289.884,0.5475459581525,1,0.8015492681504557,High
TRANSFER,4,36.96,127.45,1,Indoor/Outdoor Games,Passaic,EE. UU.,Consumer,NJ,Fan Shop,LATAM,Cancún,México,22.49,0.15,49.98,0.29,3,149.94,127.45,36.96,Central America,Quintana Roo,PROCESSING,O'Brien Men's Neoprene Life Vest,49.98,Standard Class,0.75,1,172.43099999999998,0.5475459581525,1,0.5532258410943378,Medium
DEBIT,4,45.82,97.49,0,Men's Footwear,Caguas,Puerto Rico,Corporate,PR,Apparel,Europe,Rugby,Reino Unido,32.5,0.25,129.99,0.47,1,129.99,97.49,45.82,Northern Europe,Inglaterra,COMPLETE,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class,0.25,1,162.4875,0.5404411764705882,0,0.2518164624333321,Low
DEBIT,4,42.25,129.99,0,Men's Footwear,Caguas,Puerto Rico,Corporate,PR,Apparel,Europe,Krefeld,Alemania,0.0,0.0,129.99,0.33,1,129.99,129.99,42.25,Western Europe,Renania del Norte-Westfalia,ON_HOLD,Nike Men's CJ Elite 2 TD Football Cleat,129.99,Standard Class,0.25,1,129.99,0.5584861116234461,0,0.2474528632456739,Low
DEBIT,4,97.49,299.98,0,Camping & Hiking,Caguas,Puerto Rico,Corporate,PR,Fan Shop,Europe,Krefeld,Alemania,0.0,0.0,299.98,0.33,1,299.98,299.98,97.49,Western Europe,Renania del Norte-Westfalia,ON_HOLD,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class,0.25,1,299.98,0.5584861116234461,0,0.2466431950862305,Low
DEBIT,4,78.74,224.99,0,Camping & Hiking,Caguas,Puerto Rico,Corporate,PR,Fan Shop,Europe,Krefeld,Alemania,75.0,0.25,299.98,0.35,1,299.98,224.99,78.74,Western Europe,Renania del Norte-Westfalia,ON_HOLD,Diamondback Women's Serene Classic Comfort Bi,299.98,Standard Class,0.25,1,374.975,0.5584861116234461,0,0.2493073734997569,Low
DEBIT,4,7.43,99.0,0,Women's Apparel,Caguas,Puerto Rico,Corporate,PR,Golf,Europe,Krefeld,Alemania,1.0,0.01,50.0,0.08,2,100.0,99.0,7.43,Western Europe,Renania del Norte-Westfalia,ON_HOLD,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,0.5,1,101.0,0.5584861116234461,0,0.2410696284616615,Low
DEBIT,4,0.0,169.98,1,Cardio Equipment,Caguas,Puerto Rico,Corporate,PR,Footwear,Pacific Asia,Manila,Filipinas,30.0,0.15,99.99,0.0,2,199.98,169.98,0.0,Southeast Asia,Capital Nacional,ON_HOLD,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,0.5,1,229.977,0.5552992976202956,0,0.3412857886597448,Low
DEBIT,4,34.13,136.5,1,Women's Apparel,Caguas,Puerto Rico,Corporate,PR,Golf,Pacific Asia,Manila,Filipinas,13.5,0.09,50.0,0.25,3,150.0,136.5,34.13,Southeast Asia,Capital Nacional,ON_HOLD,Nike Men's Dri-FIT Victory Golf Polo,50.0,Standard Class,0.75,1,163.5,0.5552992976202956,0,0.326987666473859,Low
DEBIT,4,-250.1,374.96,0,Cardio Equipment,Caguas,Puerto Rico,Corporate,PR,Footwear,Europe,Rugby,Reino Unido,124.99,0.25,99.99,-0.67,5,499.95,374.96,-250.1,Northern Europe,Inglaterra,COMPLETE,Nike Men's Free 5.0+ Running Shoe,99.99,Standard Class,1.25,1,624.9375,0.5404411764705882,0,0.2509542960029861,Low
